,Unnamed: 0,Unnamed: 1,CaO,Al2O3,SiO2,Density (g·cm-3),Tg (°C),Thermal expansion (×10-6/°C),Hardness (GPa),Young’s modulus (GPa),fnet1,Fnet_SBS,Fnet_BSdm,Fnet_BSdc,Fnet_EF,Fnet_SBS/Tm,Fnet_BSdm/Tm,Fnet_BSdc/Tm,Fnet_EF/Tm,Fnet_SBS2,Fnet_BSdm2,Fnet_BSdc2,Fnet_EF2,Fnet_SBS/Tm2,Fnet_BSdm/Tm2,Fnet_BSdc/Tm2,Fnet_EF/Tm2
0,Takahashi [40],1,61.0,29.0,10.0,2.92,853.0,8.7,,,2441.0443034790696,2441.0443034790696,4130.642418604651,1809.393070387597,771.2375392248063,1.0564395794852715,1.7754151069767443,0.7664547472868217,0.3238116713178295,3772.185421395349,7168.148837209302,3936.739968992248,1311.5797829457365,1.5906880396899228,2.962407441860465,1.5697091472868216,0.5265513178294573
1,,2,53.0,37.0,10.0,2.9,881.0,7.7,,,3202.3292687532844,3202.3292687532844,5354.7734,2274.0605481751822,1013.508801459854,1.3866181084496352,2.3056734335766422,0.9675500788321166,0.42729444671532846,4087.764335182482,7439.4545985401455,3777.864817518248,1390.8140145985403,1.7366605150364967,3.1092178102189783,1.5288239416058391,0.5675410218978102
2,,3,45.0,45.0,10.0,2.87,883.0,6.5,,,3821.729543062069,3821.729543062069,6312.599365517241,2594.4798565517235,1208.7044855172412,1.6563772132413794,2.7245821103448273,1.110244165517241,0.5117863172413794,4371.327779310344,7685.001379310344,3637.704275862069,1462.222344827586,1.8677433710344828,3.241653793103448,1.492984827586207,0.604408275862069
3,,4,40.0,50.0,10.0,2.78,,,,,4111.17480224,4111.17480224,6742.04956,2717.22694,1298.2578,1.7831424755200003,2.9147456800000002,1.1673985599999999,0.55110944,4509.147008,7771.738666666667,3522.1946666666663,1491.9733333333334,1.9331865173333336,3.2969226666666667,1.459552,0.621248
4,,5,35.0,55.0,10.0,2.98,,,,,4430.122423329032,4430.122423329032,7202.469219354839,2829.421974193548,1402.8880000000001,1.9216542301161288,3.116901770967742,1.2196492193548385,0.5971899741935484,4699.9546838709675,7972.827096774193,3480.2691612903222,1545.0028387096775,2.0195952051612904,3.3962729032258063,1.4533148387096773,0.6470529032258063
5,,6,55.0,26.0,19.0,2.92,855.0,8.3,,,2755.858344761905,2755.858344761905,4699.265190476191,2156.7626904761905,766.5889047619048,1.2165219085714287,2.067387619047619,0.9445723809523808,0.3227247619047619,4045.5162412698414,7644.331746031746,4257.730793650793,1225.4107936507937,1.7492805904761906,3.249448412698413,1.76045873015873,0.4930888888888889
6,,7,47.5,33.5,19.0,2.88,872.0,7.4,,,3490.1929011235957,3490.1929011235957,5890.385681647939,2631.223219850187,981.9413835205993,1.5391413149363296,2.5913836254681644,1.154820404494382,0.414883415730337,4327.070861423221,7866.319850187266,4080.709962546816,1303.879850187266,1.8780377617977528,3.369595131086142,1.7080352059925092,0.5333468164794007
7,,8,39.0,39.0,22.0,2.85,863.0,6.3,,,4121.287848103597,4121.287848103597,6904.157421582733,3047.4022359712226,1125.1171856115106,1.8264217980086332,3.0584858330935245,1.3533763856115106,0.47752275107913666,4636.449933812949,8186.313956834531,4032.148949640287,1338.9396258992806,2.030213457266187,3.5531730935251793,1.7230759712230215,0.5548909352517984
8,,9,50.3,16.7,33.0,2.9,829.0,9.0,,,2781.7697871053983,2781.7697871053983,4854.951964867181,2461.147320479863,574.4647660668381,1.272850569696658,2.2225229790059986,1.1298784515852613,0.2425264970008569,4302.678174053129,8268.516983718937,4904.32817823479,1014.2002810625536,1.9259951570865468,3.644546443873179,2.1147181148243357,0.40437134532990576
9,,10,45.6,21.4,33.0,2.87,933.0,7.8,,,3329.031307413509,3329.031307413509,5763.460450082372,2853.25998306425,723.5011654695222,1.5156100452533772,2.6259118003294892,1.3050192830313014,0.3060208685337725,4482.207396902801,8387.500494233936,4750.97639538715,1074.419611202636,2.0060960695881382,3.7082766392092252,2.0625505107084017,0.43476612850082363
10,,11,41.9,25.1,33.0,2.84,845.0,7.1,,,3712.224089918466,3712.224089918466,6389.838860911272,3112.648642925659,828.1171371702638,1.6856994657841728,2.904798119904077,1.42187848441247,0.3508576306954436,4612.517855155876,8473.961630695443,4639.671846522781,1118.3863788968824,2.0641748949640286,3.7544450839328545,2.0245966426858515,0.4569285371702638
11,,12,39.4,27.6,33.0,2.82,844.0,6.9,,,3926.331526199373,3926.331526199373,6720.496845141066,3228.2004210658306,885.9168446394984,1.781227306312226,3.0541268840125393,1.4763952952978054,0.37618825329153605,4699.756302445142,8527.263197492164,4558.877943573668,1146.4525642633228,2.1034581266457684,3.784399749216301,1.9973156112852664,0.4713439498432602
12,,13,37.2,29.8,33.0,2.81,854.0,6.4,,,4120.998880399384,4120.998880399384,7026.263607395994,3336.285174791987,947.1041270878272,1.8659629573670262,3.1875304191063174,1.5240634613251152,0.4025459130970724,4774.5915207396,8581.56191063174,4501.976924499229,1171.9336332819723,2.1366763522958396,3.812439260400616,1.9780677966101692,0.48403451463790437
13,,14,35.3,31.7,33.0,2.8,852.0,6.0,,,4271.909182116932,4271.909182116932,7259.650585269552,3417.9338037053913,988.376457828398,1.9331632870791198,3.292640270463174,1.5623779538344722,0.4206048844343204,4834.416619589978,8618.609506454062,4447.104716780562,1191.5858952164008,2.1635115174487476,3.8329596659073655,1.9594169172361429,0.4940691875474564
14,,15,33.5,33.5,33.0,2.79,859.0,5.8,,,4394.56946237603,4394.56946237603,7445.721460674157,3475.7158368539326,1027.2392212734082,1.9865979757782772,3.3742244584269665,1.588438154307116,0.43752148614232206,4892.916901872659,8662.927041198502,4405.384689138577,1211.7161947565542,2.1893966250187264,3.855436254681648,1.9453306367041199,0.5040221722846443
15,,16,29.0,38.0,33.0,2.76,,,,,4695.813584834784,4695.813584834784,7890.897115942028,3601.445019710145,1119.1689495652174,2.118861116278261,3.5721281898550727,1.6476123449275364,0.4779853507246377,5031.234532173914,8754.284927536233,4287.327072463768,1257.097043478261,2.251354006956522,3.9049175362318844,1.9055289855072461,0.5270405797101451
16,,17,24.0,43.0,33.0,2.83,,,,,4981.808748083916,4981.808748083916,8295.06369230769,3687.2058209790207,1215.6049846153844,2.242599305622378,3.749071804195803,1.6879854545454545,0.5205994405594404,5201.862453706293,8905.853986013984,4199.886433566433,1315.9731468531468,2.3264257163636364,3.9782612587412585,1.8772162237762235,0.5555110489510489
17,,18,54.0,6.0,40.0,2.93,805.0,9.2,,,1904.2720827471696,1904.2720827471696,3423.589883018868,1917.7615950943393,253.46445056603773,0.902433508045283,1.6243261283018868,0.9098252075471699,0.10703939622641509,4179.358128301887,8444.677735849058,5506.549283018867,795.7249811320754,1.9080871486792454,3.777329811320755,2.398892075471698,0.3050928301886793
18,,19,50.0,10.0,40.0,2.9,807.0,9.0,,,2487.004973818182,2487.004973818182,4419.588090909091,2390.0127363636366,393.20420000000007,1.1648826545454547,2.073111636363637,1.1234756363636367,0.16622981818181823,4353.581323636364,8551.196363636363,5340.377454545454,860.5076363636364,1.9844864145454546,3.8329545454545455,2.339538181818182,0.3373890909090909
19,,20,45.0,15.0,40.0,2.85,813.0,8.1,,,3164.918437078261,3164.918437078261,5556.973660869567,2904.8492130434784,558.913747826087,1.4698314868869564,2.5861714608695654,1.3579742260869567,0.23694838260869566,4554.098448695652,8668.245217391304,5141.125913043478,934.1196521739131,2.072735408695652,3.895477391304348,2.268561739130435,0.3743339130434783
