Glass #,Author,Year,CaO,K2O,MgO,Na2O,P2O5,SiO2,ZrO2,"Density at 20°C, g/cm3","Young`s modulus, GPa"
20683,Livshits V.Ya.,1991,7.6,2.8,0,14.2,0,49.9,0,3.094,96
22219,Gan Fuxi,1959,18,0,0,12,0,50,0,2.568,77.4
24660,Spinner S.,1954,14.3,0,0,14.3,0,57.09999,0,2.59,84.9
24661,Spinner S.,1954,14.3,0,0,14.3,0,50,0,2.591,86.8
24662,Spinner S.,1954,14.3,0,0,14.3,0,42.8,0,2.589,88.3
24663,Spinner S.,1954,14.3,0,0,14.3,0,35.7,0,2.561,86.8
26863,Loewenstein K.L,1962,11.15,0,0,16.13,0,69.81,0,2.506,67.7
26864,Loewenstein K.L,1962,11.15,0,0,16.13,0,69.81,0,2.674,76
26865,Loewenstein K.L,1962,11.15,0,0,16.13,0,69.81,0,2.89,77.6
26866,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,0,2.567,77.8
26867,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,5.660565,2.89,78.1
26868,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,0,2.909,78.8
26869,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,0,3.002,77.4
26870,Loewenstein K.L,1962,11.15,0,0,16.13,0,69.81,0,2.532,78.7
26871,Loewenstein K.L,1962,11.15,0,0,16.13,0,69.81,0,2.478,72.6
26872,Loewenstein K.L,1962,11.15,0,0,16.13,0,69.81,0,2.877,76.6
26874,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,0,2.513,77.9
26875,Loewenstein K.L,1962,10.83108,0,5.660565,15.67157,0,67.83678,0,2.612,79.2
26876,Loewenstein K.L,1962,16.49165,0,0,15.67157,0,67.83678,0,2.55,75.5
26877,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,0,2.673,75.4
26878,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,0,2.754,74.3
26879,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,0,2.608,72.6
26880,Loewenstein K.L,1962,10.83108,0,0,15.67157,0,67.83678,0,2.948,71.4
26882,Loewenstein K.L,1962,11.15,0,0,16.13,0,69.81,0,2.512,76.8
26883,Loewenstein K.L,1962,11.15,2.91,0,16.13,0,69.81,0,2.49,69.3
26884,Loewenstein K.L,1962,11.15,0,0,19.04,0,69.81,0,2.551,71.2
110645,State Optical I,1975,4.744341,8.926603,0,2.745139,0,69.98347,0,2.61,72.3
33459,Takagi H.,1988,5.75,0,0,7,0,30,7,3.809,106
33461,Takagi H.,1988,6,0,0,17.5,0,67,9.5,2.746,83.1
110688,State Optical I,1975,3.022992,6.030803,1.812173,2.007715,0,65.3273,0,3.67,63
10817,Butta E.,1961,10.70798,0,0,14.2889,0,69.92702,0,2.517,80.4
11347,Totesh A.S.,1961,16.8,0,0,16.7,0,66.1,0,2.5,69.6
12321,Gan Fuxi,1959,18,0,0,12,0,70,0,2.553,77.7
12363,Tille U.,1978,25,0,0,10,0,65,0,2.622,79.7
12370,Tille U.,1978,27.5,0,0,10,0,62.5,0,2.667,80.6
50432,Molot V.A.,1992,7.5,0,0,19.7,0,68.1,0,2.486,69.5
50433,Molot V.A.,1992,7,0,0,18,0,69,0,2.489,70
50434,Molot V.A.,1992,7.5,0,0,18.2,0,65.2,0,2.497,70.4
50435,Molot V.A.,1992,7,0,0,18,0,65,0,2.502,72.2
50436,Molot V.A.,1992,7.7,0,0,17.5,0,59,0,2.512,72.8
50437,Molot V.A.,1992,7.9,0,0,17.9,0,48.1,0,2.522,76.1
14593,Higazy A.A.,1987,20,0,0,15,0,65,0,2.56,69
14125,Higazy A.A.,1987,19.85309,0,0,14.88981,0,64.52253,0,2.611,80.1
14126,Higazy A.A.,1987,19.71026,0,0,14.78269,0,64.05834,0,2.616,81.6
14127,Higazy A.A.,1987,19.43635,0,0,14.57726,0,63.16813,0,2.693,87.6
14974,Higazy A.A.,1987,18.48258,0,0,13.86194,0,60.06839,0,2.728,87.1
14975,Higazy A.A.,1987,18.07338,0,0,13.55503,0,58.73848,0,2.749,85.1
14976,Higazy A.A.,1987,17.70225,0,0,13.27669,0,57.53231,0,2.792,85.6
13086,Higazy A.A.,1987,16.90903,0,0,12.68177,0,54.95435,0,2.866,90.5
13087,Higazy A.A.,1987,16.26413,0,0,12.1981,0,52.85842,0,2.911,98.4
145717,Winkelmann A.,1894,7.730922,0,0,13.98959,0,69.57671,0,2.585,73.9
6074,Volf M.B.,1961,7.698498,0,0,14.42845,0,69.2849,0,2.58,64.7
6397,Espe W.,1968,7.989699,6.61E-03,0.2624716,14.85947,0,68.87259,0,2.58,72.2
6398,Espe W.,1968,7.730414,6.57E-03,0,13.98867,0,69.57214,0,2.58,72.2
6399,Espe W.,1968,7.738213,0,0,14.50288,0,69.12645,0,2.58,72.2
38580,Gan Fuxi,1959,18,0,0,12,0,60,0,2.565,79.4
38588,Gan Fuxi,1959,18,0,0,12,0,60,0,2.583,78.4
121837,Butler B.P.,1996,11.43836,2.360133,4.988424,8.212734,0,53.52946,0,2.57,76.5
121838,Butler B.P.,1996,11.31682,2.708773,3.652334,6.977467,0,62.57785,0,2.6,80.9
121839,Butler B.P.,1996,9.959259,2.459193,1.684859,7.229242,0,57.40778,0,2.6,74.8
121840,Butler B.P.,1996,9.714502,1.044389,5.080032,8.472049,0,52.27146,0,2.65,83.7
121841,Butler B.P.,1996,12.13036,1.675061,3.573686,6.126748,0,61.55406,0,2.6,81.1
121842,Butler B.P.,1996,10.05644,1.159173,1.800949,8.828613,0,55.61263,0,2.554,78.3
121843,Butler B.P.,1996,10.02964,0.1293338,6.078944,10.83277,0,54.90306,0,2.68,85.3
121844,Butler B.P.,1996,10.98514,0.7399712,3.412054,6.63623,0,55.16106,0,2.605,82.6
121845,Butler B.P.,1996,11.45418,0.1255432,1.822223,8.877287,0,55.83414,0,2.554,79.3
121846,Butler B.P.,1996,11.31763,0.9117221,3.400211,9.424326,0,53.33142,0,2.625,83.6
121847,Butler B.P.,1996,11.21615,1.360443,3.357952,8.608007,0,61.78613,0,2.634,80.6
121848,Butler B.P.,1996,8.838819,1.099228,3.070665,9.242747,0,56.69534,0,2.608,78.8
